type;isin;investmentRegion;investmentSubject;fullName;managedBy;replicationType;ticker;exchange;tickerGoogle;tickerYahoo;currency
ETF;IE00B5BMR087;USA;Akcje;ISHARES CORE S&P500 UCITS ;iShares;Accumulating;SXR8;FRA;FRA:SXR8;SXR8.F;EUR
ETF;IE00B5BMR087;USA;Akcje;ISHARES CORE S&P500 UCITS ;iShares;Accumulating;CSPX;LON;LON:CSPX;CSPX.L;USD
ETF;IE00B5BMR087;USA;Akcje;ISHARES CORE S&P500 UCITS ;iShares;Accumulating;CSP1;LON;LON:CSP1;CSP1.L;GBX
ETF;IE00B5BMR087;USA;Akcje;ISHARES CORE S&P500 UCITS ;iShares;Accumulating;CSPX;AMS;AMS:CSPX;CSPX.AS;EUR
ETF;IE00B4L5Y983;Globalny (DM);Akcje;ISHARES CORE MSCI WORLD UCITS ;iShares;Accumulating;EUNL;FRA;FRA:EUNL;EUNL.F;EUR
ETF;IE00B4L5Y983;Globalny (DM);Akcje;ISHARES CORE MSCI WORLD UCITS ;iShares;Accumulating;IWDA;LON;LON:IWDA;IWDA.L;USD
ETF;IE00B4L5Y983;Globalny (DM);Akcje;ISHARES CORE MSCI WORLD UCITS ;iShares;Accumulating;SWDA;LON;LON:SWDA;SWDA.L;GBX
ETF;IE00B4L5Y983;Globalny (DM);Akcje;ISHARES CORE MSCI WORLD UCITS ;iShares;Accumulating;IWDA;AMS;AMS:IWDA;IWDA.AS;EUR
ETF;IE00B3XXRP09;USA;Akcje;VANGUARD S&P 500 ETF UCITS ;Vanguard;Distributing;VUSA;LON;LON:VUSA;;GBP
ETF;IE00B3XXRP09;USA;Akcje;VANGUARD S&P 500 ETF UCITS ;Vanguard;Distributing;VUSA;FRA;FRA:VUSA;;EUR
ETF;IE00B3XXRP09;USA;Akcje;VANGUARD S&P 500 ETF UCITS ;Vanguard;Distributing;VUSA;AMS;AMS:VUSA;;EUR
ETF;IE00BKM4GZ66;Globalny (EM);Akcje;ISHARES CORE MSCI EM IMI UCITS ;iShares;Accumulating;IS3N;FRA;FRA:IS3N;;EUR
ETF;IE00BKM4GZ66;Globalny (EM);Akcje;ISHARES CORE MSCI EM IMI UCITS ;iShares;Accumulating;EIMI;LON;LON:EIMI;;USD
ETF;IE00BKM4GZ66;Globalny (EM);Akcje;ISHARES CORE MSCI EM IMI UCITS ;iShares;Accumulating;EMIM;LON;LON:EMIM;;GBX
ETF;IE00BKM4GZ66;Globalny (EM);Akcje;ISHARES CORE MSCI EM IMI UCITS ;iShares;Accumulating;EMIM;AMS;AMS:EMIM;;EUR
ETF;IE0005042456;Wielka Brytania;Akcje;ISHARES CORE FTSE100 UCITS;iShares;Distributing;ISF;LON;LON:ISF;;GBX
ETF;IE0005042456;Wielka Brytania;Akcje;ISHARES CORE FTSE100 UCITS ;iShares;Distributing;ISFA;AMS;AMS:ISFA;;EUR
ETF;IE0031442068;USA;Akcje;ISHARES CORE S&P 500 UCITS ;iShares;Distributing;IUSA;FRA;FRA:IUSA;;EUR
ETF;IE0031442068;USA;Akcje;ISHARES CORE S&P 500 UCITS ;iShares;Distributing;IDUS;LON;LON:IDUS;;USD
ETF;IE0031442068;USA;Akcje;ISHARES CORE S&P 500 UCITS ;iShares;Distributing;IUSA;LON;LON:IUSA;;GBX
ETF;IE0031442068;USA;Akcje;ISHARES CORE S&P 500 UCITS ;iShares;Distributing;IUSA;AMS;AMS:IUSA;;EUR
ETF;IE00B3YCGJ38;USA;Akcje;INVESCO MARKETS PLC S&P 500 UCITS ;Invesco;Accumulating;SPXS;AMS;AMS:SPXS;;EUR
ETF;IE00B3YCGJ38;USA;Akcje;INVESCO MARKETS PLC S&P 500 UCITS;Invesco;Accumulating;P500;FRA;FRA:P500;;EUR
ETF;IE00B3RBWM25;Globalny;Akcje;VANGUARD FTSE ALLWORLD UCITS ETF USD ;Vanguard;Distributing;VWRD;LON;LON:VWRD;;USD
ETF;IE00B3RBWM25;Globalny;Akcje;VANGUARD FTSE ALLWORLD UCITS ETF USD ;Vanguard;Distributing;VWRL;AMS;AMS:VWRL;;EUR
ETF;IE00BJ0KDQ92;Globalny (DM);Akcje;XTRACKERS MSCI WORLD UCITS ;Xtrackers;Accumulating;XDWD;LON;LON:XDWD;;
ETF;IE00BJ0KDQ92;Globalny (DM);Akcje;XTRACKERS MSCI WORLD UCITS ;Xtrackers;Accumulating;XDWD;FRA;FRA:XDWD;;
ETF;IE00B53SZB19;USA;Akcje;ISHARES NASDAQ 100 USD ;iShares;Accumulating;SXRV;FRA;FRA:SXRV;;EUR
ETF;IE00B53SZB19;USA;Akcje;ISHARES NASDAQ 100 USD ;iShares;Accumulating;CNDX;LON;LON:CNDX;;USD
ETF;IE00B53SZB19;USA;Akcje;ISHARES NASDAQ 100 USD ;iShares;Accumulating;CNDX;AMS;AMS:CNDX;;EUR
ETF;IE00B1YZSC51;Europa;Akcje;ISHARES MSCI EUROPE UCITS ;iShares;Distributing;IMEU;LON;LON:IMEU;;GBX
ETF;IE00B6R52259;Globalny;Akcje;ISHARES MSCI ACWI UCITS ETF USD ;iShares;Accumulating;ISAC;LON;LON:ISAC;;USD
ETF;IE00B6R52259;Globalny;Akcje;ISHARES MSCI ACWI UCITS ETF USD;iShares;Accumulating;IUSQ;FRA;FRA:IUSQ;;EUR
ETF;DE0002635307;Europa;Akcje;ISHARES STOXX EUROPE 600 UCITS ;iShares;Distributing;SXXPIEX;FRA;FRA:EXSA;;
ETF;DE0005933956;Europa;Akcje;ISHARES EURO STOXX 50 UCITS ;iShares;Distributing;SX5EEX;FRA;FRA:EXW1;;EUR
ETF;IE00BK5BQT80;Globalny;Akcje;VANGUARD FTSE ALLWORLD UCITS ETF USD ;Vanguard;Accumulating;VWRA;LON;LON:VWRA;;USD
ETF;IE00BK5BQT80;Globalny;Akcje;VANGUARD FTSE ALLWORLD UCITS ETF USD ;Vanguard;Accumulating;VWCE;FRA;FRA:VWCE;;EUR
